i18next,<19.5.5
tiptap,<1.29.0
npm-registry-fetch,<4.0.5
socket.io-file,*
npm,<6.14.6
sockjs,<0.3.20
electron,<7.2.4
electron,<7.2.4
electron,<7.2.4
electron,<6.1.11
strider-git,<2.0.0
formiojs,<4.12.1-rc.19
jspdf,<2.0.0
jspdf,<2.0.0
keycloak-connect,<10.0.0
locutus,<2.0.13
tileserver-gl,<3.1.0
bcrypt,<5.0.0
jsoneditor,<9.0.2
bcrypt,<5.0.0
express-jwt,<6.0.0
swagger-ui,<3.26.1
wifiscanner,*
gitlab-workflow,*
@uppy/companion,<1.13.2
docsify,<4.11.4
redoc,<2.0.0-rc.28
mversion,<2.0.1
bunyan,<1.8.13
influx,<5.5.3
jsrsasign,<8.0.18
jsrsasign,<8.0.18
limdu,*
jsrsasign,<8.0.18
strapi,<3.0.2
node-rsync,*
scp,*
fast-http,*
marked-tree,*
marscode,*
rollup-plugin-server,*
rollup-plugin-dev-server,*
rollup-plugin-serve,*
rollup-plugin-serve-favicon,*
sapper,<0.27.11
wappalyzer,<6.0.3
casperjs,*
@sap-cloud-sdk/core,>=1.19.0 <1.21.2
mjml,<4.6.3
elliptic,<6.5.3
dijit,<1.11.11
mversion,<2.0.0
tui-editor,<2.2.0
thenify,<3.3.1
node-import,*
redash,*
ssb-db,>=20.0.0 <20.0.1
ssb-server,>=16.0.0 <16.0.1
angular,<1.8.0
layui-src,*
vue-instantsearch,<3.0.0
highcharts,<7.2.2
next,<5.1.0
devcert,<1.1.1
graphql-playground-html,<1.6.22
apollo-server-core,<2.14.2
angular,<1.8.0
node-extend,*
access-policy,*
mosc,*
cd-messenger,*
@fluentui/styles,<0.50.0
@uifabric/utilities,<7.20.3
ghost,<2.38.2
html-to-text,<6.0.0
@nozbe/watermelondb,<0.15.1
@elastic/app-search-node,<7.7.0
@elastic/app-search-javascript,<7.7.0
kibana,>=6.7.0 <6.8.9
kibana,<6.8.9
kibana,<6.8.9
node-addon-api,>=0.0.0 <1.7.2
nervjs,<1.5.7
